Sivaonyx,Sivaonyx n. sp. soriae,6.2895,6.2895
Brachypsalis,Brachypsalis modicus,14.1815,14.785
Enhydritherium,Enhydritherium n. sp. terraenovae,7.6000000000000005,7.6000000000000005
Mustela,Mustela cf. rexroadensis,3.35,7.6000000000000005
Lutra,Lutra maculicollis,1.294,1.294
cf.,cf. Baranogale helbingi,2.894,2.894
Hypsoparia,Hypsoparia cf. bozemanensis,14.1815,14.785
Promartes,Promartes vantasselensis,22.615000000000002,22.615000000000002
n.,n. gen. Puijila n. sp. darwini,21.735,21.735
n.,n. gen. Brevimalictis n. sp. chikasha,14.785,14.785
Sivaonyx,Sivaonyx ekecaman,3.9605,4.4665
n.,n. gen. Tyrrhenolutra n. sp. helbingi,7.0165,7.0165
Eomellivora,Eomellivora aff. wimani,9.433,9.433
Paludolutra,Paludolutra campanii,7.0165,7.0165
Buisnictis,Buisnictis n. sp. metabatos,3.35,3.35
Meles,Meles ? meles,0.39635000000000004,0.39635000000000004
Martes,Martes cf. americana,0.06885,0.06885
Brachypsalis,Brachypsalis n. sp. obliquidens,18.2,18.2
Lutra,Lutra cf. canadensis,1.29985,1.29985
Galictis,Galictis vittata,0.00585,0.00585
n.,n. gen. Legionarictis n. sp. fortidens,14.785,14.785
Martes,Martes n. sp. nobilis,0.06885,0.06885
Mustela,Mustela cf. nigripes,1.05,1.05
Leptarctus,Leptarctus cf. ancipidens,14.785,14.785
Lutra,Lutra canadensis,0.00585,1.29985
n.,n. gen. Cyrnolutra n. sp. castiglionis,0.4535,0.4535
Promartes,Promartes lepidus,22.615000000000002,25.615000000000002
Martes,Martes campestris,11.95,11.95
Pteronura,Pteronura brasiliensis,0.00585,1.294
Plesiogulo,Plesiogulo marshalli,7.6000000000000005,7.6000000000000005
Eomellivora,Eomellivora wimani,10.399999999999999,10.399999999999999
Taxidea,Taxidea mexicana,7.6000000000000005,7.6000000000000005
Mephitis,Mephitis n. sp. fossidens,1.05,1.05
Arikarictis,Arikarictis chapini,22.615000000000002,22.615000000000002
Osmotherium,Osmotherium spelaeum,1.05,1.05
Siamogale,Siamogale n. sp. melilutra,8.0,8.0
n.,n. gen. Chamitaxus n. sp. avitus,7.6000000000000005,7.6000000000000005
Taxidea,Taxidea taxus,0.063,3.35
Hypsoparia,Hypsoparia n. sp. timmi,14.785,14.785
Mustela,Mustela n. sp. meltoni,3.35,3.35
Sivaonyx,Sivaonyx hendeyi,12.809000000000001,12.809000000000001
Leptarctus,Leptarctus n. sp. desuii,10.435,10.435
Mephitis,Mephitis n. sp. orthostichus,1.05,1.05
Potamotherium,Potamotherium miocenicum,12.375,16.435
Mustela,Mustela frenata,0.00585,1.05
Martes,Martes n. sp. stirtoni,11.95,11.95
Enhydriodon,Enhydriodon africanus,3.0940000000000003,12.809000000000001
Brachypsalis,Brachypsalis cf. pachycephalus,14.785,14.785
Lutra,Lutra platensis,0.3965,0.3965
Martes,Martes n. sp. parapennanti,1.05,1.05
Mustela,Mustela cf. putorius,1.29985,1.29985
Martes,Martes n. sp. khelifensis,13.789000000000001,13.789000000000001
Mustela,Mustela nigripes,0.063,1.05
Martes,Martes cf. martes,0.4535,0.4535
Martes,Martes cf. kinseyi,14.785,14.785
Ictonyx,Ictonyx striatus,0.00585,1.29985
Baranogale,Baranogale cf. helbingi,2.894,2.894
Miomustela,Miomustela cf. madisonae,14.785,14.785
Sthenictis,Sthenictis n. sp. dolichops,18.2,18.2
Martes,Martes cf. pennanti,0.06885,0.06885
Pliotaxidea,Pliotaxidea garberi,7.6000000000000005,7.6000000000000005
Meles,Meles ex gr. meles,1.29985,1.29985
Leptarctus,Leptarctus n. sp. supremus,7.6000000000000005,7.6000000000000005
Conepatus,Conepatus n. sp. robustus,0.06885,0.06885
Mustela,Mustela cf. erminea,0.06885,1.05
Mustela,Mustela rixosa,0.063,0.063
Conepatus,Conepatus leuconotus,0.06885,1.29985
Hoplictis,Hoplictis cf. grangerensis,11.95,11.95
Aonyx,Aonyx ? bravardi,2.197,2.197
cf.,cf. Taxidea taxus,0.06885,0.06885
Taxidea,Taxidea marylandica,1.05,1.05
Lutravus,Lutravus cf. halli,7.6000000000000005,11.95
Buisnictis,Buisnictis cf. schoffi,3.35,3.35
Enhydriodon,Enhydriodon cf. falconeri,3.9605,3.9605
Mionictis,Mionictis n. sp. elegans,18.2,18.2
Enhydriodon,Enhydriodon n. sp. dikikae,4.4665,4.4665
Sivaonyx,Sivaonyx hessicus,8.470500000000001,8.470500000000001
Angustictis,Angustictis aff. mayri,22.715,22.715
Mustela,Mustela aff. erminea,0.4535,0.4535
Megalictis,Megalictis ferox,22.615000000000002,22.615000000000002
Promartes,Promartes cf. lepidus,18.2,22.615000000000002
Martes,Martes americana,0.063,1.29985
Mionictis,Mionictis artenensis,16.435,16.435
Gulo,Gulo gulo,0.063,1.29985
Lutra,Lutra pontica,8.470500000000001,12.154
Leptarctus,Leptarctus wortmani,11.95,11.95
Plionictis,Plionictis parviloba,14.785,14.785
Aonyx,Aonyx bravardi,2.894,2.894
Conepatus,Conepatus sanmiguelensis,7.6000000000000005,7.6000000000000005
Buisnictis,Buisnictis schoffi,3.35,7.6000000000000005
Martes,Martes cf. glareae,14.785,14.785
Paludolutra,Paludolutra n. sp. maremmana,7.0165,7.0165
Leptarctus,Leptarctus n. sp. webbi,11.95,11.95
Enhydra,Enhydra reevei,2.1905,2.1905
Mustela,Mustela n. sp. rexroadensis,3.35,3.35
cf.,cf. Mionictis pristinus,14.785,14.785
Miomustela,Miomustela madisonae,14.785,14.785
n.,n. gen. Matanomictis n. sp. maniyarensis,25.565,25.565
Martes,Martes nobilis,0.063,0.06885
Conepatus,Conepatus mesoleucus,0.06885,0.06885
Brachyopsigale,Brachyopsigale dubius,3.35,3.35
Dinogale,Dinogale n. sp. siouxensis,18.2,18.2
Satherium,Satherium piscinarium,1.05,3.35
n.,n. gen. Negodiaetictis n. sp. rugatrulleum,14.785,14.785
Sivaonyx,Sivaonyx n. sp. gandakasensis,9.433,9.433
Mustela,Mustela n. sp. jacksoni,1.6845,1.6845
Lutra,Lutra n. sp. reevei,2.197,2.197
Sthenictis,Sthenictis n. sp. junturensis,14.1815,14.1815
Martes,Martes zibellina,0.00585,0.00585
Sivaonyx,Sivaonyx n. sp. senutae,8.470500000000001,8.470500000000001
Hoplictis,Hoplictis grangerensis,14.1815,14.1815
Mustela,Mustela americana,0.00585,0.00585
Plionictis,Plionictis cf. ogygia,14.785,14.785
Mustelavus,Mustelavus n. sp. priscus,35.55,35.55
Plionictis,Plionictis oregonensis,7.6000000000000005,7.6000000000000005
Martes,Martes martes,0.00585,1.6845
Mellivora,Mellivora cf. capensis,3.0940000000000003,12.809000000000001
Brachyprotoma,Brachyprotoma obtusata,0.06885,1.05
Conepatus,Conepatus cf. suffocans,1.6845,1.6845
Lutra,Lutra cf. maculicollis,1.29985,1.29985
Eira,Eira barbara,0.00585,0.063
Gulo,Gulo gidleyi,1.05,1.05
Arikarictis,Arikarictis n. sp. chapini,25.615000000000002,25.615000000000002
Mustela,Mustela putorius,0.06885,1.29985
Plesiogulo,Plesiogulo lindsayi,7.6000000000000005,7.6000000000000005
Putorius,Putorius vison,0.00585,0.00585
Sthenictis,Sthenictis cf. dolichops,14.785,14.785
Enhydra,Enhydra n. sp. macrodonta,0.156,0.156
Mustela,Mustela cf. nivalis,0.4535,0.4535
Conepatus,Conepatus semistriatus,0.00585,0.063
Mustela,Mustela sibirica,0.06885,0.06885
Promartes,Promartes olcotti,22.615000000000002,25.55
Mionictis,Mionictis dubia,9.433,13.795
Vishnuonyx,Vishnuonyx chinjiensis,13.789000000000001,13.789000000000001
Gulo,Gulo schlosseri,0.4535,1.6845
cf.,cf. Mustela putorius,2.6723500000000002,2.6723500000000002
Brachypsalis,Brachypsalis n. sp. marshalli,7.6000000000000005,7.6000000000000005
Megalictis,Megalictis n. sp. ferox,22.615000000000002,22.615000000000002
Leptarctus,Leptarctus n. sp. mummorum,11.95,11.95
n.,n. gen. Namibictis n. sp. senuti,17.319000000000003,17.319000000000003
Leptarctus,Leptarctus n. sp. woodburnei,14.1815,14.1815
Trigonictis,Trigonictis cookii,1.05,3.35
Brachyopsigale,Brachyopsigale n. sp. dubius,3.35,3.35
Lutrogale,Lutrogale cretensis,0.06885,0.06885
Leptarctus,Leptarctus n. sp. wortmani,11.95,11.95
Arctomeles,Arctomeles n. sp. sotnikovae,4.4665,4.4665
Lutra,Lutra cf. bravardi,2.894,2.894
Trocharion,Trocharion cf. albanense,16.435,16.435
Buisnictis,Buisnictis n. sp. breviramus,3.35,3.35
n.,n. gen. Hypsoparia n. sp. bozemanensis,14.785,14.785
Cyrnaonyx,Cyrnaonyx n. sp. majori,1.29985,1.29985
Sthenictis,Sthenictis n. sp. bellus,18.2,18.2
Lutra,Lutra lutra,0.00585,1.6845
Brachypsalis,Brachypsalis obliquidens,14.785,14.785
Meles,Meles cf. meles,0.4535,0.4535
Ferinestrix,Ferinestrix vorax,3.35,3.35
Enhydra,Enhydra macrodonta,1.05,1.05
Enhydriodon,Enhydriodon falconeri,3.9605,8.470500000000001
Leptarctus,Leptarctus ancipidens,17.015,18.2
Sivaonyx,Sivaonyx gandakasensis,9.433,9.433
Putorius,Putorius arizonensis,0.06885,0.06885
Promartes,Promartes darbyi,25.55,25.55
n.,n. gen. Mellalictis n. sp. mellalensis,13.789000000000001,13.789000000000001
Pekania,Pekania n. sp. occulta,7.6000000000000005,7.6000000000000005
Gulo,Gulo luscus,0.4535,0.4535
Buisnictis,Buisnictis burrowsi,3.35,3.35
Sthenictis,Sthenictis cf. lacota,11.95,11.95
Martinogale,Martinogale alveodens,7.6000000000000005,7.6000000000000005
Mustela,Mustela n. sp. reliquus,0.06885,0.06885
Acheronictis,Acheronictis n. sp. webbi,25.615000000000002,25.615000000000002
Brachyprotoma,Brachyprotoma n. sp. obtusata,1.05,1.05
Pliogale,Pliogale furlongi,7.6000000000000005,7.6000000000000005
Zodiolestes,Zodiolestes n. sp. freundi,18.2,18.2
Brachyprotoma,Brachyprotoma brevimala,0.063,0.063
Taxidea,Taxidea n. sp. marylandica,1.05,1.05
Lutra,Lutra bressana,1.29985,1.29985
Nesolutra,Nesolutra n. sp. trinacriae,1.29985,1.29985
Lutra,Lutra longicaudis,0.00585,0.00585
Brachypsalis,Brachypsalis pachycephalus,14.1815,14.785
Mionictis,Mionictis ? artenensis,16.435,16.435
Mustela,Mustela (Putorius) cf. eversmanni,0.4535,0.4535
n.,n. gen. Craterogale n. sp. simus,18.2,18.2
Trigonictis,Trigonictis macrodon,1.05,3.35
Franconictis,Franconictis vireti,21.2,22.715
Potamotherium,Potamotherium vallentoni,22.715,25.715
n.,n. gen. Paralutra lorteti,16.435,16.435
Mionictis,Mionictis pristinus,11.95,11.95
Lontra,Lontra canadensis,0.00585,3.35
Arctonyx,Arctonyx collaris,0.06885,1.6845
Cernictis,Cernictis n. sp. repenningi,7.6000000000000005,7.6000000000000005
Oligobunis,Oligobunis n. sp. floridanus,18.2,18.2
Sivaonyx,Sivaonyx kamuhangirei,3.9605,3.9605
Trigonictis,Trigonictis cf. cookii,3.35,3.35
Mustela,Mustela cf. rixosa,0.06885,1.294
Brachyprotoma,Brachyprotoma n. sp. brevimala,0.063,0.063
Buisnictis,Buisnictis n. sp. chisoensis,7.6000000000000005,7.6000000000000005
Enhydriodon,Enhydriodon n. sp. lluecai,3.9605,3.9605
Mellivora,Mellivora capensis,0.00585,4.917
Arctomeles,Arctomeles n. sp. dimolodontus,6.050000000000001,6.050000000000001
Leptarctus,Leptarctus primus,14.785,14.785
Martinogale,Martinogale n. sp. faulli,8.470500000000001,8.470500000000001
Tisisthenes,Tisisthenes parvus,1.05,1.05
Zodiolestes,Zodiolestes n. sp. daimonelixensis,22.615000000000002,22.615000000000002
Mustela,Mustela (Putorius) putorius,0.4535,0.4535
Promartes,Promartes n. sp. lepidus,22.615000000000002,22.615000000000002
Satherium,Satherium ? piscinarium,2.6,2.6
Megalictis,Megalictis frazieri,22.615000000000002,22.615000000000002
n.,n. gen. Pyctis n. sp. inamatus,31.15,31.15
Leptarctus,Leptarctus n. sp. martini,14.785,14.785
Lutra,Lutra fatimazohrae,3.0940000000000003,3.0940000000000003
Conepatus,Conepatus n. sp. sanmiguelensis,14.1815,14.1815
Megalictis,Megalictis petersoni,22.615000000000002,22.615000000000002
Taxidea,Taxidea cf. taxus,0.06885,3.35
Lutra,Lutra affinis,3.9605,7.0165
Nesolutra,Nesolutra n. sp. ichnusae,1.294,1.294
Angustictis,Angustictis mayri,21.2,21.2
Mustela,Mustela (Putorius) eversmanni,1.29985,1.29985
Paralutra,Paralutra n. sp. garganensis,8.470500000000001,8.470500000000001
Leptarctus,Leptarctus woodburnei,7.6000000000000005,7.6000000000000005
Sivaonyx,Sivaonyx n. sp. kamuhangirei,4.4665,4.4665
Enhydritherium,Enhydritherium terraenovae,4.4665,14.1815
Pliogale,Pliogale manka,11.95,11.95
Promartes,Promartes gemmarosae,25.615000000000002,25.615000000000002
Eomellivora,Eomellivora cf. wimani,7.0165,11.95
Martes,Martes pennanti,0.063,1.29985
Promartes,Promartes n. sp. olcotti,22.615000000000002,22.615000000000002
Leptarctus,Leptarctus n. sp. kansasensis,11.95,11.95
Lutra,Lutra annectens,0.00585,0.00585
Conepatus,Conepatus cf. robustus,0.06885,0.06885
Pliotaxidea,Pliotaxidea n. sp. garberi,7.6000000000000005,7.6000000000000005
Mustela,Mustela rexroadensis,3.35,3.35
Plionictis,Plionictis oaxacaensis,14.785,14.785
Pliotaxidea,Pliotaxidea nevadensis,7.6000000000000005,14.1815
Leptarctus,Leptarctus oregonensis,14.1815,18.2
Ferinestrix,Ferinestrix n. sp. vorax,3.35,3.35
Enhydra,Enhydra lutris,0.00585,0.156
Aonyx,Aonyx capensis,0.00585,1.6845
Conepatus,Conepatus suffocans,1.6845,1.6845
Trocharion,Trocharion albanense,12.375,14.81
Paralutra,Paralutra jaegeri,10.399999999999999,10.399999999999999
Mionictis,Mionictis n. sp. letifer,18.2,18.2
Plesiogulo,Plesiogulo cf. lindsayi,7.6000000000000005,7.6000000000000005
Lutra,Lutra simplicidens,0.4535,1.6845
Cernictis,Cernictis n. sp. hesperus,7.6000000000000005,7.6000000000000005
Lontra,Lontra longicaudis,0.063,0.063
Martes,Martes n. sp. foxi,3.35,3.35
Martes,Martes diluviana,1.05,1.05
Sminthosinis,Sminthosinis n. sp. bowleri,3.35,3.35
Franconictis,Franconictis aff. vireti,25.715,25.715
Mustela,Mustela cf. altaica,1.6845,1.6845
Mellivora,Mellivora aff. punjabiensis,3.0940000000000003,4.917
Mustela,Mustela vison,0.063,1.05
Meles,Meles meles,0.00585,1.6845
Aonyx,Aonyx cinerea,0.00585,0.00585
Brachyopsigale,Brachyopsigale cf. dubius,7.6000000000000005,7.6000000000000005
Mustela,Mustela erminea ?,0.06885,0.06885
Martes,Martes (Tomictis) n. sp. gazini,14.785,14.785
Pliotaxidea,Pliotaxidea cf. nevadensis,7.6000000000000005,7.6000000000000005
Megalenhydris,Megalenhydris n. sp. barbaricina,0.06885,0.06885
Plesiogulo,Plesiogulo cf. marshalli,7.6000000000000005,7.6000000000000005
Mustela,Mustela nivalis,0.00585,1.05
Enhydriodon,Enhydriodon sivalensis,3.0940000000000003,3.9605
Mionictis,Mionictis n. sp. incertus,18.2,18.2
n.,n. gen. Pelycictis n. sp. lobulatus,1.05,1.05
Brachypsalis,Brachypsalis n. sp. hyaenoides,14.1815,14.1815
Baranogale,Baranogale helbingi,2.894,4.550000000000001
Buisnictis,Buisnictis n. sp. schoffi,7.6000000000000005,7.6000000000000005
Sminthosinis,Sminthosinis bowleri,3.35,3.35
Lontra,Lontra cf. canadensis,1.05,1.05
Meles,Meles n. sp. iberica,1.6845,1.6845
Mustela,Mustela erminea,0.00585,1.05
Pliogale,Pliogale n. sp. furlongi,7.6000000000000005,7.6000000000000005
aff.,aff. Aonyx capensis,3.9605,3.9605
Mustelavus,Mustelavus priscus,35.55,35.55
Enhydriodon,Enhydriodon lluecai,7.0165,7.0165
Plionictis,Plionictis ogygia,11.95,18.2
Martes,Martes foina,0.06885,0.4535
Lutra,Lutra euxena,1.29985,1.29985
Cyrnaonyx,Cyrnaonyx antiqua,0.4535,0.4535
Mionictis,Mionictis angustidens,11.95,11.95
Lutravus,Lutravus n. sp. halli,7.6000000000000005,7.6000000000000005
Mustela,Mustela cf. vison,0.063,1.05
Brachypsalis,Brachypsalis n. sp. matutinus,18.2,18.2
Lutra,Lutra cf. simplicidens,1.29985,1.29985
Mustela,Mustela cf. frenata,0.063,3.35
Martes,Martes cf. foina,0.4535,0.4535
Buisnictis,Buisnictis breviramus,3.35,3.35
